i,j,k,abs,arg,re,im
2,1,6,2.099236e-1,3.069861e0,-2.093837e-1,1.504524e-2
2,1,7,1.783542e-1,-1.047439e0,8.913971e-2,-1.544808e-1
2,1,8,3.135377e-1,1.442833e0,4.001189e-2,3.109742e-1
2,2,0,9.542377e-2,-9.350315e-1,5.666198e-2,-7.677966e-2
2,2,1,2.599418e-1,2.463307e0,-2.024035e-1,1.631029e-1
2,2,2,6.166082e-1,-1.228353e0,2.070506e-1,-5.808061e-1
2,2,3,8.926448e-2,-1.990008e0,-3.633428e-2,-8.153507e-2
2,2,4,2.367343e-12,8.535183e-1,1.556139e-12,1.784024e-12
2,2,5,1.164142e-12,2.174427e0,-6.608080e-13,9.584152e-13
2,2,6,8.625840e-1,-2.318010e-1,8.395135e-1,-1.981620e-1
2,2,7,3.625979e-1,1.087786e0,1.684076e-1,3.211170e-1
2,2,8,3.796395e-1,4.790507e-2,3.792040e-1,1.817971e-2
2,3,0,4.366557e-2,2.537366e0,-3.593421e-2,2.480754e-2
2,3,1,4.053720e-2,-2.277947e0,-2.633583e-2,-3.081702e-2
2,3,2,8.926448e-2,-1.990008e0,-3.633428e-2,-8.153507e-2
2,3,3,1.298655e-1,1.332318e0,3.067741e-2,1.261901e-1
2,3,4,5.462036e-13,1.844795e0,-1.477933e-13,5.258284e-13
2,3,5,3.891190e-13,-2.842142e0,-3.718027e-13,-1.147881e-13
2,3,6,1.545336e-1,2.252054e0,-9.732069e-2,1.200388e-1
2,3,7,1.355841e-1,2.818110e-2,1.355302e-1,3.820402e-3
2,3,8,4.525385e-2,-1.660850e0,-4.069768e-3,-4.507047e-2
2,4,0,6.954938e-13,5.727856e-1,5.844892e-13,3.769404e-13
2,4,1,5.591027e-13,6.577951e-1,4.424416e-13,3.418206e-13
2,4,2,2.367343e-12,8.535183e-1,1.556139e-12,1.784024e-12
2,4,3,5.462036e-13,1.844795e0,-1.477933e-13,5.258284e-13
2,4,4,7.334153e-24,-2.681760e0,-6.572331e-24,-3.254884e-24
2,4,5,4.504374e-25,1.789273e-1,4.432463e-25,8.016621e-26
2,4,6,1.923453e-13,-3.067182e0,-1.918131e-13,-1.429938e-14
2,4,7,1.029533e-12,1.297300e-1,1.020881e-12,1.331870e-13
2,4,8,1.730457e-12,-9.346061e-1,1.028125e-12,-1.391919e-12
2,5,0,2.998723e-13,2.124252e0,-1.576218e-13,2.551054e-13
2,5,1,2.018816e-13,-3.120010e0,-2.018346e-13,-4.356737e-15
2,5,2,1.164142e-12,2.174427e0,-6.608080e-13,9.584152e-13
2,5,3,3.891190e-13,-2.842142e0,-3.718027e-13,-1.147881e-13
2,5,4,4.504374e-25,1.789273e-1,4.432463e-25,8.016621e-26
2,5,5,1.813462e-25,-3.571686e-1,1.699016e-25,-6.340281e-26
2,5,6,5.978625e-13,2.076684e0,-2.897147e-13,5.229770e-13
2,5,7,5.569647e-13,3.132937e0,-5.569439e-13,4.820644e-15
2,5,8,7.454825e-13,5.838742e-1,6.219808e-13,4.109550e-13
2,6,0,3.436610e-1,-1.513959e0,1.952242e-2,-3.431061e-1
2,6,1,2.099236e-1,3.069861e0,-2.093837e-1,1.504524e-2
2,6,2,8.625840e-1,-2.318010e-1,8.395135e-1,-1.981620e-1
2,6,3,1.545336e-1,2.252054e0,-9.732069e-2,1.200388e-1
2,6,4,1.923453e-13,-3.067182e0,-1.918131e-13,-1.429938e-14
2,6,5,5.978625e-13,2.076684e0,-2.897147e-13,5.229770e-13
2,6,6,4.558106e-1,3.083828e0,-4.550503e-1,2.631500e-2
2,6,7,6.555253e-1,-1.760131e0,-1.233734e-1,-6.438109e-1
2,6,8,9.422439e-1,-2.579381e-1,9.110726e-1,-2.403545e-1
2,7,0,2.375746e-1,1.178554e0,9.081552e-2,2.195318e-1
2,7,1,1.783542e-1,-1.047439e0,8.913971e-2,-1.544808e-1
2,7,2,3.625979e-1,1.087786e0,1.684076e-1,3.211170e-1
2,7,3,1.355841e-1,2.818110e-2,1.355302e-1,3.820402e-3
2,7,4,1.029533e-12,1.297300e-1,1.020881e-12,1.331870e-13
2,7,5,5.569647e-13,3.132937e0,-5.569439e-13,4.820644e-15
2,7,6,6.555253e-1,-1.760131e0,-1.233734e-1,-6.438109e-1
2,7,7,3.330944e-1,2.399584e0,-2.455281e-1,2.250951e-1
2,7,8,2.590415e-1,1.779332e0,-5.362883e-2,2.534294e-1
2,8,0,3.667106e-1,-1.257443e0,1.130388e-1,-3.488536e-1
2,8,1,3.135377e-1,1.442833e0,4.001189e-2,3.109742e-1
2,8,2,3.796395e-1,4.790507e-2,3.792040e-1,1.817971e-2
2,8,3,4.525385e-2,-1.660850e0,-4.069768e-3,-4.507047e-2
2,8,4,1.730457e-12,-9.346061e-1,1.028125e-12,-1.391919e-12
2,8,5,7.454825e-13,5.838742e-1,6.219808e-13,4.109550e-13
2,8,6,9.422439e-1,-2.579381e-1,9.110726e-1,-2.403545e-1
2,8,7,2.590415e-1,1.779332e0,-5.362883e-2,2.534294e-1
2,8,8,3.969726e-1,-9.376588e-1,2.348796e-1,-3.200294e-1
3,0,0,8.406792e-2,2.281357e-1,8.188970e-2,1.901296e-2
3,0,1,9.767985e-2,7.751417e-2,9.738655e-2,7.563993e-3
3,0,2,4.366557e-2,2.537366e0,-3.593421e-2,2.480754e-2
3,0,3,4.396543e-2,-1.554106e0,7.337782e-4,-4.395931e-2
3,0,4,4.767017e-13,-2.875379e0,-4.599093e-13,-1.254111e-13
3,0,5,3.184207e-13,1.366428e0,6.462320e-14,3.117942e-13
3,0,6,1.908696e-1,1.775355e0,-3.877239e-2,1.868901e-1
3,0,7,4.644089e-2,2.479784e0,-3.663639e-2,2.853999e-2
3,0,8,2.862963e-1,1.088295e0,1.328404e-1,2.536119e-1
3,1,0,9.767985e-2,7.751417e-2,9.738655e-2,7.563993e-3
3,1,1,4.011626e-2,-7.502365e-1,2.934615e-2,-2.735174e-2
3,1,2,4.053720e-2,-2.277947e0,-2.633583e-2,-3.081702e-2
3,1,3,7.060424e-2,-1.983921e0,-2.834567e-2,-6.466438e-2
3,1,4,2.888846e-13,2.815532e0,-2.736637e-13,9.253360e-14
3,1,5,1.249280e-13,1.822286e0,-3.108797e-14,1.209981e-13
3,1,6,7.153485e-2,1.305368e-1,7.092624e-2,9.311433e-3
3,1,7,7.143664e-2,-1.222241e-1,7.090372e-2,-8.709555e-3
3,1,8,7.968089e-2,1.217224e0,2.758962e-2,7.475197e-2
3,2,0,4.366557e-2,2.537366e0,-3.593421e-2,2.480754e-2
3,2,1,4.053720e-2,-2.277947e0,-2.633583e-2,-3.081702e-2
3,2,2,8.926448e-2,-1.990008e0,-3.633428e-2,-8.153507e-2
3,2,3,1.298655e-1,1.332318e0,3.067741e-2,1.261901e-1
3,2,4,5.462036e-13,1.844795e0,-1.477933e-13,5.258284e-13
3,2,5,3.891190e-13,-2.842142e0,-3.718027e-13,-1.147881e-13
3,2,6,1.545336e-1,2.252054e0,-9.732069e-2,1.200388e-1
3,2,7,1.355841e-1,2.818110e-2,1.355302e-1,3.820402e-3
3,2,8,4.525385e-2,-1.660850e0,-4.069768e-3,-4.507047e-2
3,3,0,4.396543e-2,-1.554106e0,7.337782e-4,-4.395931e-2
3,3,1,7.060424e-2,-1.983921e0,-2.834567e-2,-6.466438e-2
3,3,2,1.298655e-1,1.332318e0,3.067741e-2,1.261901e-1
3,3,3,5.871291e-2,3.042497e0,-5.842487e-2,5.808667e-3
3,3,4,1.206041e-13,-1.237086e0,3.950396e-14,-1.139508e-13
3,3,5,4.031741e-13,2.434009e0,-3.063861e-13,2.620628e-13
3,3,6,4.066040e-2,9.228361e-1,2.454105e-2,3.241921e-2
3,3,7,8.211180e-2,2.641472e0,-7.205515e-2,3.937518e-2
3,3,8,1.144481e-1,1.841830e-2,1.144287e-1,2.107821e-3
3,4,0,4.767017e-13,-2.875379e0,-4.599093e-13,-1.254111e-13
3,4,1,2.888846e-13,2.815532e0,-2.736637e-13,9.253360e-14
3,4,2,5.462036e-13,1.844795e0,-1.477933e-13,5.258284e-13
3,4,3,1.206041e-13,-1.237086e0,3.950396e-14,-1.139508e-13
3,4,4,3.153860e-24,-1.005290e0,1.689974e-24,-2.662860e-24
3,4,5,7.644649e-25,-1.734468e0,-1.245633e-25,-7.542483e-25
3,4,6,6.878287e-13,3.544380e-1,6.450745e-13,2.387202e-13
3,4,7,3.744318e-13,2.870857e0,-3.607930e-13,1.001380e-13
3,4,8,6.835896e-13,7.684245e-1,4.915054e-13,4.750970e-13
3,5,0,3.184207e-13,1.366428e0,6.462320e-14,3.117942e-13
3,5,1,1.249280e-13,1.822286e0,-3.108797e-14,1.209981e-13
3,5,2,3.891190e-13,-2.842142e0,-3.718027e-13,-1.147881e-13
3,5,3,4.031741e-13,2.434009e0,-3.063861e-13,2.620628e-13
3,5,4,7.644649e-25,-1.734468e0,-1.245633e-25,-7.542483e-25
3,5,5,4.719183e-25,1.243526e0,1.517027e-25,4.468705e-25
3,5,6,1.807060e-13,-6.168034e-1,1.474076e-13,-1.045259e-13
3,5,7,2.804232e-13,2.590691e0,-2.389354e-13,1.467892e-13
3,5,8,4.472333e-13,2.991662e0,-4.422160e-13,6.680324e-14
3,6,0,1.908696e-1,1.775355e0,-3.877239e-2,1.868901e-1
3,6,1,7.153485e-2,1.305368e-1,7.092624e-2,9.311433e-3
3,6,2,1.545336e-1,2.252054e0,-9.732069e-2,1.200388e-1
3,6,3,4.066040e-2,9.228361e-1,2.454105e-2,3.241921e-2
3,6,4,6.878287e-13,3.544380e-1,6.450745e-13,2.387202e-13
3,6,5,1.807060e-13,-6.168034e-1,1.474076e-13,-1.045259e-13
3,6,6,6.375081e-1,1.226355e0,2.152680e-1,6.000636e-1
3,6,7,7.486433e-2,-2.905354e0,-7.278498e-2,-1.752183e-2
3,6,8,3.335729e-1,-2.710335e0,-3.030312e-1,-1.394380e-1
3,7,0,4.644089e-2,2.479784e0,-3.663639e-2,2.853999e-2
3,7,1,7.143664e-2,-1.222241e-1,7.090372e-2,-8.709555e-3
3,7,2,1.355841e-1,2.818110e-2,1.355302e-1,3.820402e-3
3,7,3,8.211180e-2,2.641472e0,-7.205515e-2,3.937518e-2
3,7,4,3.744318e-13,2.870857e0,-3.607930e-13,1.001380e-13
3,7,5,2.804232e-13,2.590691e0,-2.389354e-13,1.467892e-13
3,7,6,7.486433e-2,-2.905354e0,-7.278498e-2,-1.752183e-2
3,7,7,1.805273e-1,1.039863e0,9.140785e-2,1.556751e-1
3,7,8,2.049828e-1,1.900561e0,-6.637755e-2,1.939380e-1
3,8,0,2.862963e-1,1.088295e0,1.328404e-1,2.536119e-1
3,8,1,7.968089e-2,1.217224e0,2.758962e-2,7.475197e-2
3,8,2,4.525385e-2,-1.660850e0,-4.069768e-3,-4.507047e-2
3,8,3,1.144481e-1,1.841830e-2,1.144287e-1,2.107821e-3
3,8,4,6.835896e-13,7.684245e-1,4.915054e-13,4.750970e-13
3,8,5,4.472333e-13,2.991662e0,-4.422160e-13,6.680324e-14
3,8,6,3.335729e-1,-2.710335e0,-3.030312e-1,-1.394380e-1
3,8,7,2.049828e-1,1.900561e0,-6.637755e-2,1.939380e-1
3,8,8,2.532244e-1,4.203623e-1,2.311790e-1,1.033387e-1
4,0,0,3.019406e-13,-1.321121e-1,2.993095e-13,-3.977408e-14
4,0,1,1.368442e-13,-2.363766e0,-9.749329e-14,-9.602807e-14
4,0,2,6.954938e-13,5.727856e-1,5.844892e-13,3.769404e-13
4,0,3,4.767017e-13,-2.875379e0,-4.599093e-13,-1.254111e-13
4,0,4,2.998052e-24,2.172640e-1,2.927571e-24,6.462566e-25
4,0,5,1.843381e-24,-3.126329e0,-1.843167e-24,-2.813631e-26
4,0,6,9.247152e-13,1.837547e0,-2.437532e-13,8.920104e-13
4,0,7,1.430528e-13,2.144261e0,-7.761264e-14,1.201681e-13
4,0,8,6.376558e-13,2.676552e0,-5.699389e-13,2.859626e-13
4,1,0,1.368442e-13,-2.363766e0,-9.749329e-14,-9.602807e-14
4,1,1,3.281184e-13,1.337014e0,7.601152e-14,3.191927e-13
4,1,2,5.591027e-13,6.577951e-1,4.424416e-13,3.418206e-13
4,1,3,2.888846e-13,2.815532e0,-2.736637e-13,9.253360e-14
4,1,4,2.260280e-24,1.366748e0,4.580117e-25,2.213389e-24
4,1,5,2.036417e-25,-2.458153e0,-1.579048e-25,-1.285924e-25
4,1,6,3.305105e-13,-1.878553e0,-1.001188e-13,-3.149816e-13
4,1,7,2.758435e-13,-2.950183e0,-2.708058e-13,-5.247719e-14
4,1,8,6.680519e-13,-2.178629e0,-3.815176e-13,-5.483955e-13
4,2,0,6.954938e-13,5.727856e-1,5.844892e-13,3.769404e-13
4,2,1,5.591027e-13,6.577951e-1,4.424416e-13,3.418206e-13
4,2,2,2.367343e-12,8.535183e-1,1.556139e-12,1.784024e-12
4,2,3,5.462036e-13,1.844795e0,-1.477933e-13,5.258284e-13
4,2,4,7.334153e-24,-2.681760e0,-6.572331e-24,-3.254884e-24
4,2,5,4.504374e-25,1.789273e-1,4.432463e-25,8.016621e-26
4,2,6,1.923453e-13,-3.067182e0,-1.918131e-13,-1.429938e-14
4,2,7,1.029533e-12,1.297300e-1,1.020881e-12,1.331870e-13
4,2,8,1.730457e-12,-9.346061e-1,1.028125e-12,-1.391919e-12
4,3,0,4.767017e-13,-2.875379e0,-4.599093e-13,-1.254111e-13
4,3,1,2.888846e-13,2.815532e0,-2.736637e-13,9.253360e-14
4,3,2,5.462036e-13,1.844795e0,-1.477933e-13,5.258284e-13
4,3,3,1.206041e-13,-1.237086e0,3.950396e-14,-1.139508e-13
4,3,4,3.153860e-24,-1.005290e0,1.689974e-24,-2.662860e-24
4,3,5,7.644649e-25,-1.734468e0,-1.245633e-25,-7.542483e-25
4,3,6,6.878287e-13,3.544380e-1,6.450745e-13,2.387202e-13
4,3,7,3.744318e-13,2.870857e0,-3.607930e-13,1.001380e-13
4,3,8,6.835896e-13,7.684245e-1,4.915054e-13,4.750970e-13
4,4,0,2.998052e-24,2.172640e-1,2.927571e-24,6.462566e-25
4,4,1,2.260280e-24,1.366748e0,4.580117e-25,2.213389e-24
4,4,2,7.334153e-24,-2.681760e0,-6.572331e-24,-3.254884e-24
4,4,3,3.153860e-24,-1.005290e0,1.689974e-24,-2.662860e-24
4,4,4,2.681942e-36,2.325630e0,-1.837581e-36,1.953487e-36
4,4,5,2.154758e-36,-2.501924e0,-1.728749e-36,-1.286238e-36
4,4,6,7.114805e-24,-6.077722e-1,5.840702e-24,-4.062838e-24
4,4,7,1.532646e-24,-1.339963e0,3.506520e-25,-1.491995e-24
4,4,8,4.749536e-24,-2.657189e0,-4.203115e-24,-2.211767e-24
4,5,0,1.843381e-24,-3.126329e0,-1.843167e-24,-2.813631e-26
4,5,1,2.036417e-25,-2.458153e0,-1.579048e-25,-1.285924e-25
4,5,2,4.504374e-25,1.789273e-1,4.432463e-25,8.016621e-26
4,5,3,7.644649e-25,-1.734468e0,-1.245633e-25,-7.542483e-25
4,5,4,2.154758e-36,-2.501924e0,-1.728749e-36,-1.286238e-36
4,5,5,2.040027e-36,-2.231001e0,-1.251104e-36,-1.611350e-36
4,5,6,1.772949e-24,4.236328e-1,1.616223e-24,7.288146e-25
4,5,7,2.428313e-24,2.506518e0,-1.954858e-24,1.440567e-24
4,5,8,1.637626e-24,8.799723e-1,1.043451e-24,1.262153e-24
4,6,0,9.247152e-13,1.837547e0,-2.437532e-13,8.920104e-13
4,6,1,3.305105e-13,-1.878553e0,-1.001188e-13,-3.149816e-13
4,6,2,1.923453e-13,-3.067182e0,-1.918131e-13,-1.429938e-14
4,6,3,6.878287e-13,3.544380e-1,6.450745e-13,2.387202e-13
4,6,4,7.114805e-24,-6.077722e-1,5.840702e-24,-4.062838e-24
4,6,5,1.772949e-24,4.236328e-1,1.616223e-24,7.288146e-25
4,6,6,3.291336e-12,-1.894348e0,-1.046435e-12,-3.120555e-12
4,6,7,1.010256e-12,1.469520e0,1.021402e-13,1.005079e-12
4,6,8,6.304237e-13,1.929893e0,-2.215488e-13,5.902120e-13
4,7,0,1.430528e-13,2.144261e0,-7.761264e-14,1.201681e-13
4,7,1,2.758435e-13,-2.950183e0,-2.708058e-13,-5.247719e-14
4,7,2,1.029533e-12,1.297300e-1,1.020881e-12,1.331870e-13
4,7,3,3.744318e-13,2.870857e0,-3.607930e-13,1.001380e-13
4,7,4,1.532646e-24,-1.339963e0,3.506520e-25,-1.491995e-24
4,7,5,2.428313e-24,2.506518e0,-1.954858e-24,1.440567e-24
4,7,6,1.010256e-12,1.469520e0,1.021402e-13,1.005079e-12
4,7,7,1.143611e-12,-2.699146e0,-1.033489e-12,-4.896387e-13
4,7,8,9.246595e-13,1.566669e-1,9.133350e-13,1.442717e-13
4,8,0,6.376558e-13,2.676552e0,-5.699389e-13,2.859626e-13
4,8,1,6.680519e-13,-2.178629e0,-3.815176e-13,-5.483955e-13
4,8,2,1.730457e-12,-9.346061e-1,1.028125e-12,-1.391919e-12
4,8,3,6.835896e-13,7.684245e-1,4.915054e-13,4.750970e-13
4,8,4,4.749536e-24,-2.657189e0,-4.203115e-24,-2.211767e-24
4,8,5,1.637626e-24,8.799723e-1,1.043451e-24,1.262153e-24
4,8,6,6.304237e-13,1.929893e0,-2.215488e-13,5.902120e-13
4,8,7,9.246595e-13,1.566669e-1,9.133350e-13,1.442717e-13
4,8,8,2.912775e-12,-2.378880e0,-2.105834e-12,-2.012392e-12
5,0,0,4.231453e-13,-2.216359e0,-2.545844e-13,-3.379921e-13
5,0,1,2.269347e-13,-1.320437e0,5.622359e-14,-2.198597e-13
5,0,2,2.998723e-13,2.124252e0,-1.576218e-13,2.551054e-13
5,0,3,3.184207e-13,1.366428e0,6.462320e-14,3.117942e-13
5,0,4,1.843381e-24,-3.126329e0,-1.843167e-24,-2.813631e-26
5,0,5,1.366910e-24,2.489973e-1,1.324755e-24,3.368508e-25
5,0,6,3.185300e-13,-6.902924e-1,2.456057e-13,-2.028280e-13
5,0,7,7.747584e-14,-9.741069e-1,4.353422e-14,-6.408805e-14
5,0,8,6.406349e-13,3.091680e0,-6.398370e-13,3.196265e-14
5,1,0,2.269347e-13,-1.320437e0,5.622359e-14,-2.198597e-13
5,1,1,7.809693e-14,6.227529e-1,6.343625e-14,4.555187e-14
5,1,2,2.018816e-13,-3.120010e0,-2.018346e-13,-4.356737e-15
5,1,3,1.249280e-13,1.822286e0,-3.108797e-14,1.209981e-13
5,1,4,2.036417e-25,-2.458153e0,-1.579048e-25,-1.285924e-25
5,1,5,4.716281e-25,1.465326e0,4.965078e-26,4.690073e-25
5,1,6,5.919977e-13,1.973195e0,-2.318418e-13,5.447115e-13
5,1,7,2.581298e-13,-1.583199e0,-3.201447e-15,-2.581099e-13
5,1,8,4.684903e-13,-1.718773e0,-6.907274e-14,-4.633704e-13
5,2,0,2.998723e-13,2.124252e0,-1.576218e-13,2.551054e-13
5,2,1,2.018816e-13,-3.120010e0,-2.018346e-13,-4.356737e-15
5,2,2,1.164142e-12,2.174427e0,-6.608080e-13,9.584152e-13
5,2,3,3.891190e-13,-2.842142e0,-3.718027e-13,-1.147881e-13
5,2,4,4.504374e-25,1.789273e-1,4.432463e-25,8.016621e-26
5,2,5,1.813462e-25,-3.571686e-1,1.699016e-25,-6.340281e-26
5,2,6,5.978625e-13,2.076684e0,-2.897147e-13,5.229770e-13
5,2,7,5.569647e-13,3.132937e0,-5.569439e-13,4.820644e-15
5,2,8,7.454825e-13,5.838742e-1,6.219808e-13,4.109550e-13
5,3,0,3.184207e-13,1.366428e0,6.462320e-14,3.117942e-13
5,3,1,1.249280e-13,1.822286e0,-3.108797e-14,1.209981e-13
5,3,2,3.891190e-13,-2.842142e0,-3.718027e-13,-1.147881e-13
5,3,3,4.031741e-13,2.434009e0,-3.063861e-13,2.620628e-13
5,3,4,7.644649e-25,-1.734468e0,-1.245633e-25,-7.542483e-25
5,3,5,4.719183e-25,1.243526e0,1.517027e-25,4.468705e-25
5,3,6,1.807060e-13,-6.168034e-1,1.474076e-13,-1.045259e-13
5,3,7,2.804232e-13,2.590691e0,-2.389354e-13,1.467892e-13
5,3,8,4.472333e-13,2.991662e0,-4.422160e-13,6.680324e-14
5,4,0,1.843381e-24,-3.126329e0,-1.843167e-24,-2.813631e-26
5,4,1,2.036417e-25,-2.458153e0,-1.579048e-25,-1.285924e-25
